code,value,id,name_y,POINT_X,POINT_Y,2019,2020,2023,2020_change_rate,2023_change_rate,change
421200,2581605.0,178,咸宁市,114.175159,29.62364297,0.442182654,0.238617554,0.320503008,-0.2035651,0.0818854539999999,d-u
421300,2271739.0,179,随州市,113.4240872,31.82837146,0.513288488,0.108448422,0.326501425,-0.404840066,0.218053003,d-u
422800,3448470.0,180,恩施土家族苗族自治州,109.5490264,30.19157151,0.458225464,0.232176928,0.516302522,-0.226048536,0.284125594,d-u
429004,1234552.0,181,仙桃市,113.3750901,30.29012704,0.397542522,0.058470788,0.402280905,-0.339071734,0.343810117,d-u
429005,981610.0,182,潜江市,112.7560767,30.33904096,0.563269962,0.417907545,0.28175656,-0.145362417,-0.136150985,d-d
429006,1477363.0,183,天门市,113.1116544,30.64490338,0.483807689,0.179594787,0.227890064,-0.3042129019999999,0.048295277,d-s
429021,80104.0,351,神农架林区,110.4747428,31.59036868,0.468250722,0.0,0.016444582,-0.468250722,0.016444582,d-s
430100,7395941.0,184,长沙市,113.1530686,28.22690849,0.432096051,0.52090862,0.452592101,0.088812569,-0.068316519,u-d
430200,4056018.0,185,株洲市,113.5164338,27.11983518,0.442543165,0.42885921,0.421295049,-0.013683955,-0.007564161,s-s
430300,2866500.0,186,湘潭市,112.5404638,27.70224085,0.480308148,0.312273549,0.409897409,-0.168034599,0.09762386,d-u
430400,7482228.0,187,衡阳市,112.5743855,26.79436065,0.559752996,0.415774207,0.510030194,-0.1439787889999999,0.094255987,d-u
430500,7411305.0,188,邵阳市,110.8746939,26.91362303,0.485457145,0.435238909,0.285872009,-0.0502182359999999,-0.1493669,d-d
430600,5745100.0,189,岳阳市,113.2544875,29.0653122,0.40867055,0.451774739,0.385133487,0.0431041889999999,-0.0666412519999999,s-d
430700,5991826.0,190,常德市,111.5195467,29.30011326,0.388843068,0.341515309,0.247878115,-0.047327759,-0.0936371939999999,s-d
430800,1551047.0,191,张家界市,110.5255853,29.39360373,0.045398852,0.000254959,0.053707809,-0.045143893,0.05345285,s-u
430900,4528739.0,192,益阳市,111.951003,28.57510964,0.391705888,0.363368115,0.226655966,-0.028337773,-0.136712149,s-d
431000,4801944.0,193,郴州市,113.1367444,25.81469595,0.412842409,0.353849635,0.25504817,-0.058992774,-0.0988014649999999,d-d
431100,5456459.0,194,永州市,111.7294365,25.77465205,0.653310223,0.585479286,0.412105409,-0.0678309369999999,-0.173373877,d-d
431200,4963860.0,195,怀化市,110.0753731,27.54885027,0.459352514,0.442603555,0.259042793,-0.016748959,-0.183560762,s-d
431300,3974582.0,196,娄底市,111.2061696,27.85937945,0.401424278,0.210617522,0.489352618,-0.190806756,0.278735096,d-u
433100,2674646.0,197,湘西土家族苗族自治州,109.7269277,28.6946923,0.61582138,0.420870591,0.33401152,-0.1949507889999999,-0.086859071,d-d
440100,13329125.0,198,广州市,113.534913,23.35353765,0.544404144,0.549017858,0.457447648,0.0046137139999999,-0.09157021,s-d
440200,2967939.0,199,韶关市,113.7745254,24.82050491,0.48461815,0.24282341,0.403728936,-0.24179474,0.160905526,d-u
440300,10829089.0,200,深圳市,113.9694664,22.66192176,0.431167915,0.431539082,0.434815873,0.000371167,0.003276791,s-s
